258,12745,1661,1091,1272,1206,1195,1238,1266,1827,1901,2098,2342,2933,2693,2512,2713,3338,4305,4617,3446,1206,363,318,271,269,312,346,291,343,411,4749,169,810,12641,1074,1163,1046,1199,1265,1387,1503,954,1153,1434,2007,2926,3151,2882,3363,4294,5522,6019,2451,385,282,310,321,304,352,308,410,491,3960,200,1202,11579,1131,853,677,740,871,1084,1428,1235,1362,1183,1015,707,581,807,1505,3115,2893,2901,3351,5042,5499,6249,2374,339,368,371,451,722,3701,1
337,157,17,20,100,286,452,692,2243,8305,12461,9002,6517,5703,3953,2777,3073,3492,4166,1091,97,85,79,61,67,50,51,39,40,29,26,68,410,90,11,1,9,57,210,328,484,1820,4863,6954,4670,3330,4702,7328,6572,4570,4221,4634,5217,4240,550,41,38,51,27,36,29,25,16,2,242,227,39,4,2,3,16,34,210,836,1927,2781,3990,5201,3279,2166,1157,1419,2768,3593,2665,2511,2604,3012,4039,4505,6530,8907,866,1,0,2,1
0,0,0,267,1932,4021,6279,7390,5378,4471,2235,1279,1122,1528,2142,2029,3380,5406,4586,2288,2020,2091,1727,745,560,426,439,452,299,259,217,568,0,0,0,13,127,511,1643,2693,4007,11999,10594,3640,1256,921,920,2865,6025,3610,2505,2191,1887,2147,2163,2115,725,168,155,116,107,174,193,66,1,5,25,232,910,1515,2441,3130,3315,8638,6807,4536,3325,2652,1694,648,351,218,153,239,1016,3844,5533,3407,2324,1813,1357,2514,2423,470,0,0,1
0,0,0,0,0,0,2,18,27,35,28,28,34,20,29,40,85,460,2064,4441,5424,4763,4834,2729,2273,1359,2660,6371,9414,8709,6959,2730,0,0,0,0,0,0,2,15,28,33,26,32,28,28,24,34,48,204,1078,3289,5743,5498,5566,3188,2490,1443,3147,6926,10040,8851,6181,1594,0,0,0,0,0,5,20,34,26,34,32,21,25,30,26,51,134,569,2214,4154,5347,4403,3746,3271,2129,1376,893,1825,4280,5094,7929,17868,1
2682,3206,3946,3956,3353,2446,1725,1774,2387,2852,2592,3156,3235,3099,2227,1891,1436,1687,2029,1682,1835,2291,2549,2531,2150,1291,761,534,176,48,7,2,48,213,434,540,710,762,929,1122,1118,1229,1281,1408,1498,2120,2558,2387,1321,1243,1269,1117,1625,2393,3156,3821,4307,5490,5665,6198,4685,3867,948,74,95,356,586,740,1099,1187,1246,1007,825,887,839,953,1330,2010,2548,3018,3275,3763,4332,3609,2996,2319,1927,1163,795,626,525,758,2332,4207,6497,7686,1
340,753,1024,1414,2244,2022,2043,3497,3642,3797,3687,3004,2764,3118,1863,1690,1475,1013,1419,1594,2068,1104,1199,1620,1047,873,748,964,1508,2678,3699,5625,99,376,734,1060,1547,1649,1460,1069,1014,1368,1749,1073,937,1401,1201,1938,3407,2225,3106,2002,3021,2064,2019,2551,2351,3104,4382,3979,4218,3150,2692,2590,2169,1748,1553,1443,1217,985,819,659,672,749,995,1281,2394,3472,3041,3462,3231,2993,3621,3517,4334,3692,3550,3344,2796,2191,1695,2203,1251,385,69,5,1
118,226,432,523,710,856,1065,1218,1520,2355,3132,2759,2603,5742,4695,3188,2456,1571,1724,1597,1539,2046,2780,2966,3360,3251,2484,2301,2194,2107,1211,807,68,123,227,289,462,573,747,966,1234,1588,1618,1697,1994,2324,2500,2434,3904,4779,5114,3107,2029,1594,2006,1738,2632,3187,4646,4711,2734,1935,1403,1173,513,612,758,818,944,866,837,873,874,1035,861,921,1080,1462,1539,1786,1725,2084,2527,2251,3650,4684,5004,3154,1622,1291,1157,1253,2433,4466,5664,6792,1
7068,7578,5865,3114,1937,1132,1344,1193,1641,1787,2016,1878,1717,1922,1570,1616,1440,1296,1177,842,745,896,1332,1084,987,1077,1179,1380,1155,1369,1906,4293,182,446,967,1966,3250,3339,4071,3608,3442,3142,2586,1838,1224,945,799,993,1010,1537,2133,2455,3126,3012,3939,2548,2293,1653,1478,1883,1660,1645,1613,753,456,314,344,365,590,944,1257,1328,1171,1337,1719,2389,3122,4686,4295,3118,2437,1951,2080,1681,1737,1405,1411,1496,1920,2859,3670,4420,3755,4386,2383,510,1
6605,1076,816,922,1354,2231,2955,4169,5997,7821,6878,5296,3182,3447,3667,4401,2981,1132,408,106,50,21,9,5,4,1,0,1,1,0,0,0,1134,5548,891,582,663,680,663,767,662,1057,1954,2885,2339,2651,4334,8612,9533,5554,3331,3600,3796,2637,1200,279,98,52,17,7,5,3,0,2,820,5160,1089,693,726,683,703,630,601,685,703,966,1392,2867,3416,2918,2631,2531,4844,10480,11398,3178,3479,1807,769,219,91,34,11,6,4,2,1
4697,1729,1620,2027,3026,4185,4598,4980,4408,4425,4452,4270,3345,3130,2146,1891,2082,1785,1425,904,823,624,618,430,329,265,206,198,147,120,143,508,1457,1776,900,928,1036,1043,1412,1761,2742,5598,5954,4560,4597,4297,3608,4144,3827,3184,3086,2328,2163,1313,882,630,463,357,269,241,166,143,127,544,668,1467,1217,1115,1166,1272,1283,1306,1535,2189,2854,3912,4063,3690,2624,2437,2419,3279,3361,3275,3444,3434,3283,2909,2718,1374,743,617,454,301,258,869,1
272,58,188,46,440,1174,1454,3910,6656,9374,5804,4112,2030,1667,1112,1504,2534,3166,6158,6614,5027,1154,340,191,186,140,134,91,0,0,0,0,254,5,32,102,121,2,7,17,20,33,288,2406,3262,4790,4149,3971,4073,5926,4973,3954,3170,3675,8207,6638,3485,706,311,349,217,173,167,53,256,8,50,191,11,0,3,17,17,80,508,1202,1356,1939,1777,1845,2640,3332,5086,5805,8906,10033,10182,4822,2181,1582,563,561,348,225,10,0,1
382,994,2567,5025,4867,5871,5481,3423,2224,1566,949,828,708,908,910,2608,3894,5241,6543,3452,1797,1613,1364,804,531,382,315,210,71,8,0,0,34,31,106,197,347,727,1490,4244,3724,3207,5050,5982,3990,2547,1241,878,703,694,809,965,2817,3978,6288,5849,2675,1756,1584,1353,834,516,398,522,6,30,71,97,242,434,809,756,846,1105,3335,4166,1756,3151,4683,4923,3737,2031,1143,784,702,651,845,1846,5397,9304,4477,2099,2246,1736,999,1129,1
669,1069,1559,1722,2492,2898,3025,2782,2564,3022,2445,1944,1758,2952,5109,5379,4730,4862,5964,4907,2310,879,332,64,33,29,16,3,3,10,5,0,0,7,7,16,35,99,477,1238,2152,3195,3251,3714,3107,2623,1587,1781,2414,2473,3143,3705,8295,6924,7281,5640,2017,160,79,43,23,22,8,20,2,3,7,7,30,64,93,163,235,407,772,1576,2331,3158,2876,2974,2859,2655,2552,2031,2191,2251,3319,4644,4631,9280,8203,5907,160,66,32,57,1
3151,7337,5286,4723,3669,2839,2683,2525,1880,1106,565,450,381,425,318,267,269,307,380,319,384,580,906,855,842,1027,972,997,2043,4928,7722,5400,3,54,201,102,562,1946,2982,2637,3445,3630,2956,2366,2301,1915,2054,1793,2236,1899,2749,2221,2461,1404,1087,867,1311,1807,3443,4415,5385,2946,773,1585,4,6,23,81,360,124,399,981,1088,966,2048,2425,2732,2573,2633,2717,3553,3649,4203,2820,3330,3643,5125,4450,5172,5130,2439,794,249,217,493,1109,1
411,187,153,131,610,2335,6190,10812,9220,2874,3713,5369,4756,9098,7723,643,264,187,189,89,60,64,41,33,34,27,18,32,35,39,145,54,270,53,158,127,80,111,149,183,223,324,357,548,667,4975,14918,19503,6895,10794,4472,115,58,40,40,54,38,33,29,26,25,33,22,216,286,164,282,346,448,343,392,331,351,422,366,723,5988,16373,9330,4519,6388,8641,8115,1308,48,22,40,29,22,29,47,98,61,23,1,0,1
2560,5279,1274,1114,1682,2200,2902,3213,2542,3192,3123,2481,2185,2249,2011,2387,2511,2488,2856,2653,2478,1912,1811,1288,1132,1147,911,1086,1068,1336,463,2,1114,4704,1872,1459,1398,2043,3180,3672,3112,4209,4137,3080,2219,2586,2696,3263,3707,3030,2824,2653,2125,2492,1983,1492,478,8,0,0,0,0,0,0,583,1834,927,1411,1513,1707,2514,3726,5100,6723,5298,4381,3520,3169,2755,3192,2865,2760,3471,3309,3403,1365,10,0,0,0,0,0,0,0,0,0,1
